Fonts on P1:
  (1583, 'ttf', 'Type0', 'PJHRPK+MS-Gothic', 'C2_0', 'Identity-H')
  (1588, 'ttf', 'Type0', 'KMSIXU+MS-Mincho', 'C2_1', 'Identity-H')
  (1590, 'ttf', 'Type0', 'SOPZFE+MS-Mincho', 'C2_2', 'Identity-V')
  (1592, 'ttf', 'TrueType', 'DRIXDI+MS-Gothic', 'TT0', 'WinAnsiEncoding')
  (1594, 'ttf', 'TrueType', 'GOSKTC+MS-Mincho', 'TT1', 'WinAnsiEncoding')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-7098480789', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-9742682568', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-2000805986', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-9750469207', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-7572533686', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-8450180107', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-8659871878', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-5824662338', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-1848524175', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-7888911063', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-979344929', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-2708199956', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-6703682664', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-735569487', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-8784015711', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-9668333493', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-250812044', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-1275322832', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-7720966295', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-4525072762', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-5563853605', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-4869070959', 'Identity-H')
